site_id,site_name,basin,id_numonly
MO06906800,"Lamine River near Otterville, MO",Potential Reference Basin,6906800
IA05488200,"English Creek near Knoxville, IA",Potential Reference Basin,5488200
CO09107000,"TAYLOR RIVER AT TAYLOR PARK, CO.",Potential Reference Basin,9107000
MO05507600,"Lick Creek at Perry, MO",Potential Reference Basin,5507600
MO05503800,"Crooked Creek near Paris, MO",Potential Reference Basin,5503800
MO05508805,"Spencer Cr. bl Plum Cr. nr Frankford, MO",Potential Reference Basin,5508805
CO09035800,"DARLING CREEK NEAR LEAL, CO.",Potential Reference Basin,9035800
CO06614800,"MICHIGAN RIVER NEAR CAMERON PASS, CO.",Potential Reference Basin,6614800
KS06910800,"MARAIS DES CYGNES R NR READING, KS",Potential Reference Basin,6910800
KS07145700,"SLATE C AT WELLINGTON, KS",Potential Reference Basin,7145700
MO06921070,"Pomme de Terre River near Polk, MO",Potential Reference Basin,6921070
OK07148400,"Salt Fork Arkansas River nr Alva, OK",Potential Reference Basin,7148400
OK07335700,"Kiamichi River near Big Cedar, OK",Potential Reference Basin,7335700
CO09035900,"SOUTH FORK OF WILLIAMS FORK NEAR LEAL, CO.",Potential Reference Basin,9035900
MO06918460,"Turnback Creek above Greenfield, MO",Potential Reference Basin,6918460
CO09066200,"BOOTH CREEK NEAR MINTURN, CO.",Potential Reference Basin,9066200
CO09066300,"MIDDLE CREEK NEAR MINTURN, CO.",Potential Reference Basin,9066300
CO09352900,"VALLECITO CREEK NEAR BAYFIELD, CO.",Potential Reference Basin,9352900
IA05487980,"White Breast Creek near Dallas, IA",Potential Reference Basin,5487980
KS07151500,"CHIKASKIA R NR CORBIN, KS",Potential Reference Basin,7151500
OK07315700,"Mud Creek near Courtney, OK",Potential Reference Basin,7315700
KS07142300,"RATTLESNAKE C NR MACKSVILLE, KS",Potential Reference Basin,7142300
KS06911900,"DRAGOON C NR BURLINGAME, KS",Potential Reference Basin,6911900
CO09047700,"KEYSTONE GULCH NEAR DILLON, CO.",Potential Reference Basin,9047700
CO09066000,"BLACK GORE CREEK NEAR MINTURN, CO.",Potential Reference Basin,9066000
CO09081600,"CRYSTAL RIVER AB AVALANCHE C, NEAR REDSTONE, CO.",Potential Reference Basin,9081600
CO09065500,"GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.",Potential Reference Basin,9065500
IA05458000,"Little Cedar River near Ionia, IA",Potential Reference Basin,5458000
KS07184000,"LIGHTNING C NR MCCUNE, KS",Potential Reference Basin,7184000
KS07149000,"MEDICINE LODGE R NR KIOWA, KS",Potential Reference Basin,7149000
KS06917000,"L OSAGE R AT FULTON, KS",Potential Reference Basin,6917000
OK07197000,"Baron Fork at Eldon, OK",Potential Reference Basin,7197000
CO07083000,"HALFMOON CREEK NEAR MALTA, CO.",Potential Reference Basin,7083000
IA05489000,"Cedar Creek near Bussey, IA",Potential Reference Basin,5489000
OK07301500,"North Fork Red River near Carter, OK",Potential Reference Basin,7301500
KS07167500,"OTTER C AT CLIMAX, KS",Potential Reference Basin,7167500
MO06919500,"Cedar Creek near Pleasant View, MO",Potential Reference Basin,6919500
MO07057500,"North Fork River near Tecumseh, MO",Potential Reference Basin,7057500
IA05454000,"Rapid Creek near Iowa City, IA",Potential Reference Basin,5454000
KS07180500,"CEDAR C NR CEDAR POINT, KS",Potential Reference Basin,7180500
MO05501000,"North River at Palmyra, MO",Potential Reference Basin,5501000
MO07014500,"Meramec River near Sullivan, MO",Potential Reference Basin,7014500
MO05514500,"CUIVRE RIVER NEAR TROY, MO",Potential Reference Basin,5514500
IA05412500,"Turkey River at Garber, IA",Potential Reference Basin,5412500
MO05495000,"Fox River at Wayland, MO",Potential Reference Basin,5495000
MO07068000,"Current River at Doniphan, MO",Potential Reference Basin,7068000
MO07071500,"Eleven Point River near Bardley, MO",Potential Reference Basin,7071500
MO07066000,"Jacks Fork at Eminence, MO",Potential Reference Basin,7066000
KS07143665,"L ARKANSAS R AT ALTA MILLS, KS",Little Arkansas River,7143665
KS07143672,"L ARKANSAS R AT HWY 50 NR HALSTEAD, KS",Little Arkansas River,7143672
KS07144100,"L ARKANSAS R NR SEDGWICK, KS",Little Arkansas River,7144100
KS07144200,"L ARKANSAS R AT VALLEY CENTER, KS",Little Arkansas River,7144200
KS07137500,"ARKANSAS R NR COOLIDGE, KS",Arkansas River,7137500
KS07138000,"ARKANSAS R AT SYRACUSE, KS",Arkansas River,7138000
KS07138020,"ARKANSAS R AT KENDALL, KS",Arkansas River,7138020
KS07139000,"ARKANSAS R AT GARDEN CITY, KS",Arkansas River,7139000
KS07139500,"ARKANSAS R AT DODGE CITY, KS",Arkansas River,7139500
KS07141300,"ARKANSAS R AT GREAT BEND, KS",Arkansas River,7141300
KS07143330,"ARKANSAS R NR HUTCHINSON, KS",Arkansas River,7143330
KS07143375,"ARKANSAS R NR MAIZE, KS",Arkansas River,7143375
KS07144300,"ARKANSAS R AT WICHITA, KS",Arkansas River,7144300
KS07144550,"ARKANSAS R AT DERBY, KS",Arkansas River,7144550
KS07146500,"ARKANSAS R AT ARKANSAS CITY, KS",Arkansas River,7146500
