"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id"
"1","11502500","WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR",42.564375,-121.8797139,"18010201",1962-10-01,2021-09-30,59,1
"3","11493500","WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",42.74013528,-121.8344618,"18010201",1962-10-01,2021-09-30,59,2
"31","11501000","SPRAGUE RIVER NEAR CHILOQUIN, OR",42.58430556,-121.8483333,"18010202",1962-10-01,2021-09-30,59,3
"4","11507500","LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,"18010204",1962-10-01,2021-09-30,59,4
"5","11509500","KLAMATH RIVER AT KENO, OR",42.13319946,-121.9622313,"18010206",1962-10-01,2021-09-30,59,5
"6","11510700","KLAMATH RIVER BLW JOHN C.BOYLE PWRPLNT, NR KENO,OR",42.0845877,-122.0733453,"18010206",1962-10-01,2021-09-30,59,6
"7","11516530","KLAMATH R BL IRON GATE DAM CA",41.92791865,-122.4441882,"18010206",1962-10-01,2021-09-30,59,7
"8","11520500","KLAMATH R NR SEIAD VALLEY CA",41.8537379,-123.2322733,"18010206",1962-10-01,2021-09-30,59,8
"9","11517500","SHASTA R NR YREKA CA",41.8229179,-122.5955813,"18010207",1962-10-01,2021-09-30,59,9
"10","11519500","SCOTT R NR FORT JONES CA",41.64069017,-123.015037,"18010208",1962-10-01,2021-09-30,59,10
"11","11521500","INDIAN C NR HAPPY CAMP CA",41.83512325,-123.3831113,"18010209",1962-10-01,2021-09-30,59,11
"12","11523000","KLAMATH R A ORLEANS",41.3034599,-123.5345036,"18010209",1962-10-01,2021-09-30,59,12
"13","11530500","KLAMATH R NR KLAMATH CA",41.5109543,-123.9795164,"18010209",1962-10-01,2021-09-30,59,13
"14","11522500","SALMON R A SOMES BAR CA",41.3765154,-123.4770026,"18010210",1962-10-01,2021-09-30,59,14
"15","11530000","TRINITY R A HOOPA CA",41.049852,-123.673668,"18010211",1962-10-01,2021-09-30,59,15
"16","11527000","TRINITY R NR BURNT RANCH CA",40.7887498,-123.4400401,"18010211",1962-10-01,2021-09-30,59,16
"18","11525500","TRINITY R A LEWISTON CA",40.7247222,-122.801111,"18010211",1962-10-01,2021-09-30,59,17
"19","11523200","TRINITY R AB COFFEE C NR TRINITY CENTER CA",41.1112571,-122.7055788,"18010211",1962-10-01,2021-09-30,59,18
