"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","p_MAM7","tau_MAM7","p_Baseflow","tau_Baseflow","p_MeanQ","tau_MeanQ","p_Q10","tau_Q10","p_Q50","tau_Q50","p_Q90","tau_Q90","p_Q95","tau_Q95"
"1","07137500","ARKANSAS R NR COOLIDGE, KS",38.0275129,-102.0115706,"11030001",1962-10-01,2021-09-30,59,1,0.0289483830398291,"+",0.331736198632497,"+",0.863361882002979,"-",0.11812134833282,"+",0.978031147630729,"+",0.972542837577118,"+",0.694777912979357,"+"
"3","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1962-10-01,2021-09-30,59,2,0.195382860205376,"+",0.615301104344566,"+",0.725531111228122,"-",0.432584109512449,"+",0.746262416849776,"-",0.809605717925179,"-",0.901384780052778,"+"
"4","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1962-10-01,2021-09-30,59,3,0.00138079986093752,"-",0.00214825051443484,"-",0.00251910284534221,"-",0.000796966604636735,"-",0.00176107079546607,"-",0.0011811819977485,"-",0.00148636232903597,"-"
"6","07141300","ARKANSAS R AT GREAT BEND, KS",38.35306787,-98.7642519,"11030004",1962-10-01,2021-09-30,59,4,0.818893350312892,"-",0.0211056380730126,"-",0.0547829311509168,"-",0.363438197904701,"-",0.0137124213524118,"-",0.0339828011736197,"-",0.0840158234940066,"-"
"8","07141200","PAWNEE R AT ROZEL, KS",38.2075145,-99.4062247,"11030005",1962-10-01,2021-09-30,59,5,0.201981931828833,"+",0.396123302112366,"-",0.33864044689771,"-",0.512907483353273,"+",0.362626509781156,"-",0.279243095636194,"-",0.424554060491017,"-"
"11","07141900","WALNUT C AT ALBERT, KS",38.46167948,-99.014817,"11030008",1962-10-01,2021-09-30,59,6,0.0238967491524666,"+",0.238412270943348,"+",0.906839900361416,"+",0.0811192805740027,"+",0.376806831239392,"+",0.457166747287573,"+",0.704976239398101,"+"
"12","07142300","RATTLESNAKE C NR MACKSVILLE, KS",37.8715361,-98.8758056,"11030009",1962-10-01,2021-09-30,59,7,1.5856308078678e-06,"-",8.43439367717027e-06,"-",4.20549395868787e-05,"-",6.43439605887281e-06,"-",2.92447307650587e-06,"-",0.000235839356884192,"-",0.0011290827924961,"-"
"15","07143330","ARKANSAS R NR HUTCHINSON, KS",37.94614167,-97.7751194,"11030010",1962-10-01,2021-09-30,59,8,0.260677270524576,"+",0.170722510638023,"-",0.311573536266536,"-",0.994507266315681,"+",0.030642678878082,"-",0.328276412443154,"-",0.577123182550225,"-"
"17","07143300","COW C NR LYONS, KS",38.30951667,-98.192575,"11030011",1962-10-01,2021-09-30,59,9,0.942652922036253,"+",0.596066781873303,"-",0.859753174040149,"+",0.971807666678455,"+",0.533341322176696,"-",0.492996360431497,"-",0.625790752639043,"-"
"19","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1962-10-01,2021-09-30,59,10,0.543064573458855,"-",0.983084036434805,"+",0.915572018832996,"+",0.983076427864989,"-",0.821033630343721,"-",0.994360829105654,"-",0.893178666143057,"-"
"20","07144300","ARKANSAS R AT WICHITA, KS",37.6433222,-97.3351944,"11030013",1962-10-01,2021-09-30,59,11,0.266251419926695,"+",0.586562547014349,"-",0.798952954580082,"+",0.540080285226929,"+",0.247448562306456,"-",0.699863544331362,"-",0.788337480907694,"+"
"23","07146500","ARKANSAS R AT ARKANSAS CITY, KS",37.0375083,-97.0392194,"11030013",1962-10-01,2021-09-30,59,12,0.146566636484913,"+",0.30503608406532,"+",0.188572036431193,"+",0.170722510638023,"+",0.610426199459408,"+",0.370829018341959,"+",0.150228616196798,"+"
"28","07145500","NINNESCAH R NR PECK, KS",37.45696389,-97.4235556,"11030016",1962-10-01,2021-09-30,59,13,0.00762791028006331,"+",0.118138775640048,"+",0.0916912627901691,"+",0.0521969216086595,"+",0.308258958550043,"+",0.146364817855053,"+",0.188572036431193,"+"
"29","07147070","WHITEWATER R AT TOWANDA, KS",37.79602778,-97.0143222,"11030017",1962-10-01,2021-09-30,59,14,0.0199064107424364,"+",0.13886590291729,"+",0.228329346265679,"+",0.076794388212148,"+",0.188488247073559,"+",0.170722510638023,"+",0.233690542323018,"+"
"30","07147800","WALNUT R AT WINFIELD, KS",37.22440278,-96.9956889,"11030018",1962-10-01,2021-09-30,59,15,0.00135271772029255,"+",0.0422818399721089,"+",0.0971142627563929,"+",0.0172250629340277,"+",0.11176273084534,"+",0.118130062044044,"+",0.0650498715841252,"+"
